Internal ID,SPS Trading Partner Sender ID,Document Number,Date,PRO Number,BOL Number,SCAC,CarrierRouting,ShipDate,Note,TaxTypeCode,TaxTypeCode 2,TaxAmount,TaxAmount 2,TaxPercent,TaxPercent 2,InvoiceQty,PurchasePrice,TotalAmount,TotalSalesAmount,TotalTermsDiscountAmount,TotalLineItemNumber,InvoiceAmtDueByTermsDate,CustomerPartNumber,VendorPartNumber,PurchaseOrderNumber
5007516,ZZ:805150,INV1100548909919246,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919246,,,,,,,6,278.00,8096.12,1668.00,.00,9,8096.12,668863274,RJ54-G-SS,5283152111
5007516,ZZ:805150,INV1100548909919246,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919246,,,,,,,1,92.00,8096.12,92.00,.00,9,8096.12,673591894,RJ14-DB-MID-WM,5283152111
5007516,ZZ:805150,INV1100548909919246,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919246,,,,,,,58,87.50,8096.12,5075.00,.00,9,8096.12,674081692,RJ38-T1-CON-WM,5283152111
5007516,ZZ:805150,INV1100548909919246,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919246,,,,,,,2,46.75,8096.12,93.50,.00,9,8096.12,674229195,RJ16-LOCK-3L-WM,5283152111
5007516,ZZ:805150,INV1100548909919246,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919246,,,,,,,8,18.35,8096.12,146.80,.00,9,8096.12,674229275,RJ11-18-SS-WM,5283152111
5007516,ZZ:805150,INV1100548909919246,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919246,,,,,,,8,31.34,8096.12,250.72,.00,9,8096.12,674276942,RJ11-18-CTI-HP-WM,5283152111
5007516,ZZ:805150,INV1100548909919246,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919246,,,,,,,4,72.60,8096.12,290.40,.00,9,8096.12,675032296,CQ60-1C-CG-PDQ,5283152111
5007516,ZZ:805150,INV1100548909919246,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919246,,,,,,,2,48.05,8096.12,96.10,.00,9,8096.12,675053557,RJ31-SS-T-4S-WM,5283152111
5007516,ZZ:805150,INV1100548909919246,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919246,,,,,,,14,27.40,8096.12,383.60,.00,9,8096.12,676929043,RJ31-SS-T-2S-WM,5283152111
5007517,ZZ:805150,INV1100548909919247,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919247,,,,,,,60,30.60,3726.00,1836.00,.00,2,3726.00,655535086,RJ02-180-4-R-WM,1830351959
5007517,ZZ:805150,INV1100548909919247,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919247,,,,,,,140,13.50,3726.00,1890.00,.00,2,3726.00,673247716,RJ11-10-GMRL-WM-DS,1830351959
5007518,ZZ:805150,INV1100548909919248,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919248,,,,,,,1,92.00,3995.40,92.00,.00,6,3995.40,673591894,RJ14-DB-MID-WM,3083182062
5007518,ZZ:805150,INV1100548909919248,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919248,,,,,,,37,87.50,3995.40,3237.50,.00,6,3995.40,674081692,RJ38-T1-CON-WM,3083182062
5007518,ZZ:805150,INV1100548909919248,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919248,,,,,,,8,18.35,3995.40,146.80,.00,6,3995.40,674229275,RJ11-18-SS-WM,3083182062
5007518,ZZ:805150,INV1100548909919248,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919248,,,,,,,10,31.34,3995.40,313.40,.00,6,3995.40,674276942,RJ11-18-CTI-HP-WM,3083182062
5007518,ZZ:805150,INV1100548909919248,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919248,,,,,,,2,48.05,3995.40,96.10,.00,6,3995.40,675053557,RJ31-SS-T-4S-WM,3083182062
5007518,ZZ:805150,INV1100548909919248,07/28/2025 ,,40206269,,40206269,07/28/2025 ,INV1100548909919248,,,,,,,4,27.40,3995.40,109.60,.00,6,3995.40,676929043,RJ31-SS-T-2S-WM,3083182062
